source,source_id,paper_title,batch_number
arxiv,2505.17374v1,Chart-to-Experience Benchmarking Multimodal LLMs for Predicting   Experiential Impact of Charts,1
arxiv,2505.12474v1,What are they talking about Benchmarking Large Language Models for   Knowledge-Grounded Discussion Summarization,1
arxiv,2505.10113v2,What Does Neuro Mean to Cardio Investigating the Role of Clinical   Specialty Data in Medical LLMs,1
arxiv,2505.18610v1,PM-KVQ Progressive Mixed-precision KV Cache Quantization for Long-CoT   LLMs,1
arxiv,2506.00871v1,Towards Predicting Any Human Trajectory In Context,1
arxiv,2505.12973v1,"Fast, Not Fancy Rethinking G2P with Rich Data and Rule-Based Models",1
arxiv,2505.10402v1,Rethinking Repetition Problems of LLMs in Code Generation,1
arxiv,2506.00363v1,Adapting General-Purpose Embedding Models to Private Datasets Using   Keyword-based Retrieval,1
arxiv,2505.06843v2,Benign Samples Matter! Fine-tuning On Outlier Benign Samples Severely   Breaks Safety,1
arxiv,2505.07293v1,AttentionInfluence Adopting Attention Head Influence for Weak-to-Strong   Pretraining Data Selection,1
arxiv,2505.23493v1,R2I-Bench Benchmarking Reasoning-Driven Text-to-Image Generation,1
arxiv,2505.13652v1,Guided Search Strategies in Non-Serializable Environments with   Applications to Software Engineering Agents,1
arxiv,2505.23856v1,OMNIGUARD An Efficient Approach for AI Safety Moderation Across   Modalities,1
arxiv,2505.21523v2,"More Thinking, Less Seeing Assessing Amplified Hallucination in   Multimodal Reasoning Models",1
arxiv,2505.17067v2,Unveil Multi-Picture Descriptions for Multilingual Mild Cognitive   Impairment Detection via Contrastive Learning,1
arxiv,2506.04642v1,TaDA Training-free recipe for Decoding with Adaptive KV Cache   Compression and Mean-centering,2
arxiv,2412.12706v2,"More Tokens, Lower Precision Towards the Optimal Token-Precision   Trade-off in KV Cache Compression",2
arxiv,2412.15831v1,Enriching Social Science Research via Survey Item Linking,2
arxiv,2402.10110v2,Selective Reflection-Tuning Student-Selected Data Recycling for LLM   Instruction-Tuning,2
arxiv,2406.11632v5,Unveiling the Power of Source Source-based Minimum Bayes Risk Decoding   for Neural Machine Translation,2
arxiv,2504.18748v1,Generative Product Recommendations for Implicit Superlative Queries,2
arxiv,2506.20495v1,ReCode Updating Code API Knowledge with Reinforcement Learning,2
arxiv,2502.20339v1,"Thinking Slow, Fast Scaling Inference Compute with Distilled Reasoners",2
arxiv,2503.04723v2,Shifting Long-Context LLMs Research from Input to Output,2
arxiv,2406.12263v2,Defending Against Social Engineering Attacks in the Age of LLMs,2
arxiv,2406.13706v2,Developing Story Case Studies of Generative AI's Use in Journalism,2
arxiv,2506.10766v1,One Tokenizer To Rule Them All Emergent Language Plasticity via   Multilingual Tokenizers,2
arxiv,2506.07458v1,KScope A Framework for Characterizing the Knowledge Status of Language   Models,2
arxiv,2405.19635v1,GKT A Novel Guidance-Based Knowledge Transfer Framework For Efficient   Cloud-edge Collaboration LLM Deployment,2
arxiv,2505.04638v1,Towards Artificial Intelligence Research Assistant for Expert-Involved   Learning,2
arxiv,2412.04067v1,Automated Medical Report Generation for ECG Data Bridging Medical Text   and Signal Processing with Deep Learning,2
arxiv,2506.08436v1,Olica Efficient Structured Pruning of Large Language Models without   Retraining,2
arxiv,2405.11212v1,Automated Text Identification Using CNN and Training Dynamics,2
arxiv,2312.01306v1,On Significance of Subword tokenization for Low Resource and Efficient   Named Entity Recognition A case study in Marathi,2
arxiv,2502.12179v1,Identifiable Steering via Sparse Autoencoding of Multi-Concept Shifts,2
arxiv,2504.05228v3,NoveltyBench Evaluating Language Models for Humanlike Diversity,2
arxiv,2311.10431v1,Causal Graph in Language Model Rediscovers Cortical Hierarchy in Human   Narrative Processing,2
arxiv,2311.11268v1,Towards Real-World Writing Assistance A Chinese Character Checking   Benchmark with Faked and Misspelled Characters,2
arxiv,2506.09014v1,Learning to Reason Across Parallel Samples for LLM Reasoning,2
arxiv,2402.10787v2,Squat Quant Small Language Models on the Edge,2
arxiv,2404.16413v1,Asking and Answering Questions to Extract Event-Argument Structures,2
arxiv,2305.01759v1,Evaluation of Speaker Anonymization on Emotional Speech,2
arxiv,2506.22900v1,MOTOR Multimodal Optimal Transport via Grounded Retrieval in Medical   Visual Question Answering,2
arxiv,2503.13222v2,Can Language Models Follow Multiple Turns of Entangled Instructions,2
arxiv,2402.00367v2,"Don't Hallucinate, Abstain Identifying LLM Knowledge Gaps via Multi-LLM   Collaboration",2
arxiv,2503.03686v1,MAS-GPT Training LLMs to Build LLM-based Multi-Agent Systems,2
arxiv,2406.14673v2,Insights into LLM Long-Context Failures When Transformers Know but   Don't Tell,2
arxiv,2405.09719v3,Spectral Editing of Activations for Large Language Model Alignment,3
arxiv,2409.01071v1,VideoLLaMB Long-context Video Understanding with Recurrent Memory   Bridges,3
arxiv,2502.06703v1,Can 1B LLM Surpass 405B LLM Rethinking Compute-Optimal Test-Time   Scaling,3
arxiv,2504.10421v1,Can We Edit LLMs for Long-Tail Biomedical Knowledge,3
arxiv,2405.00949v1,"The Role of Model Architecture and Scale in Predicting Molecular   Properties Insights from Fine-Tuning RoBERTa, BART, and LLaMA",3
arxiv,2405.14804v4,Can LLMs Solve longer Math Word Problems Better,3
arxiv,2212.09114v2,CAPSTONE Curriculum Sampling for Dense Retrieval with Document   Expansion,3
arxiv,2506.02921v1,A Controllable Examination for Long-Context Language Models,3
arxiv,2311.15941v1,Tell2Design A Dataset for Language-Guided Floor Plan Generation,3
arxiv,2503.11656v1,TRUTH DECAY Quantifying Multi-Turn Sycophancy in Language Models,3
arxiv,2412.12094v6,SepLLM Accelerate Large Language Models by Compressing One Segment into   One Separator,3
arxiv,2506.20481v1,Counterfactual Influence as a Distributional Quantity,3
arxiv,2306.06205v1,Morphosyntactic probing of multilingual BERT models,3
arxiv,2406.15883v1,SimSMoE Solving Representational Collapse via Similarity Measure,3
arxiv,2407.01906v2,Let the Expert Stick to His Last Expert-Specialized Fine-Tuning for   Sparse Architectural Large Language Models,3
arxiv,2408.11294v1,RedWhale An Adapted Korean LLM Through Efficient Continual Pretraining,3
arxiv,2212.10547v2,Semantically-informed Hierarchical Event Modeling,3
arxiv,2501.16945v1,ToolFactory Automating Tool Generation by Leveraging LLM to Understand   REST API Documentations,3
arxiv,2311.13957v1,Efficient Trigger Word Insertion,3
arxiv,2405.15307v1,"Before Generation, Align it! A Novel and Effective Strategy for   Mitigating Hallucinations in Text-to-SQL Generation",3
arxiv,2501.13758v1,2-Tier SimCSE Elevating BERT for Robust Sentence Embeddings,3
arxiv,2505.11737v1,Token-Level Uncertainty Estimation for Large Language Model Reasoning,3
arxiv,2408.15491v1,Enhancing and Accelerating Large Language Models via Instruction-Aware   Contextual Compression,3
arxiv,2407.02136v1,Black Big Boxes Do Language Models Hide a Theory of Adjective Order,3
arxiv,2506.13458v1,Leveraging Vision-Language Pre-training for Human Activity Recognition   in Still Images,3
arxiv,2504.19070v1,Sample-Efficient Language Model for Hinglish Conversational AI,3
arxiv,2505.07908v1,A Reproduction Study The Kernel PCA Interpretation of Self-Attention   Fails Under Scrutiny,3
arxiv,2501.13946v1,Hallucination Mitigation using Agentic AI Natural Language-Based   Frameworks,3
arxiv,2412.06864v1,Political-LLM Large Language Models in Political Science,3
arxiv,2311.16832v1,CharacterGLM Customizing Chinese Conversational AI Characters with   Large Language Models,3
arxiv,2502.01236v1,Eliciting Language Model Behaviors with Investigator Agents,3
arxiv,2310.01377v2,UltraFeedback Boosting Language Models with Scaled AI Feedback,3
arxiv,2507.05980v1,RabakBench Scaling Human Annotations to Construct Localized   Multilingual Safety Benchmarks for Low-Resource Languages,3
arxiv,2404.12096v3,LongEmbed Extending Embedding Models for Long Context Retrieval,3
arxiv,2506.11088v1,Two Birds with One Stone Improving Factuality and Faithfulness of LLMs   via Dynamic Interactive Subspace Editing,3
arxiv,2502.05489v2,Mechanistic Interpretability of Emotion Inference in Large Language   Models,3
arxiv,2505.11811v1,BELLE A Bi-Level Multi-Agent Reasoning Framework for Multi-Hop Question   Answering,3
arxiv,2504.09586v1,Short-Path Prompting in LLMs Analyzing Reasoning Instability and   Solutions for Robust Performance,3
arxiv,2507.04189v2,SymbolicThought Integrating Language Models and Symbolic Reasoning for   Consistent and Interpretable Human Relationship Understanding,3
arxiv,2502.02407v1,Avoiding spurious sharpness minimization broadens applicability of SAM,3
arxiv,2504.11239v1,Nondeterministic Polynomial-time Problem Challenge An Ever-Scaling   Reasoning Benchmark for LLMs,3
arxiv,2408.01869v1,MALADE Orchestration of LLM-powered Agents with Retrieval Augmented   Generation for Pharmacovigilance,3
arxiv,2306.09841v4,Are Large Language Models Really Good Logical Reasoners A Comprehensive   Evaluation and Beyond,3
arxiv,2506.11115v1,Incorporating Domain Knowledge into Materials Tokenization,3
arxiv,2504.09504v1,MADLLM Multivariate Anomaly Detection via Pre-trained LLMs,3
arxiv,2504.13835v1,MIG Automatic Data Selection for Instruction Tuning by Maximizing   Information Gain in Semantic Space,3
arxiv,2504.20458v1,Search-Based Interaction For Conversation Recommendation via Generative   Reward Model Based Simulated User,3
arxiv,2405.01535v2,Prometheus 2 An Open Source Language Model Specialized in Evaluating   Other Language Models,3
arxiv,2505.12116v1,A Multi-Task Benchmark for Abusive Language Detection in Low-Resource   Settings,3
arxiv,2506.01372v2,AI Scientists Fail Without Strong Implementation Capability,3
arxiv,2301.01821v1,Parameter-Efficient Fine-Tuning Design Spaces,3
arxiv,2501.12570v2,O1-Pruner Length-Harmonizing Fine-Tuning for O1-Like Reasoning Pruning,3
arxiv,2506.00737v1,Narrative Media Framing in Political Discourse,3
arxiv,2506.09391v1,Comparing human and LLM politeness strategies in free production,3
arxiv,2411.19655v3,Truth or Mirage Towards End-to-End Factuality Evaluation with LLM-Oasis,3
arxiv,2405.05777v1,Towards a More Inclusive AI Progress and Perspectives in Large Language   Model Training for the SÃ¡mi Language,3
arxiv,2212.10509v2,Interleaving Retrieval with Chain-of-Thought Reasoning for   Knowledge-Intensive Multi-Step Questions,3
arxiv,2504.20668v1,A Generative-AI-Driven Claim Retrieval System Capable of Detecting and   Retrieving Claims from Social Media Platforms in Multiple Languages,3
arxiv,2405.00123v1,Graph Neural Network Approach to Semantic Type Detection in Tables,3
arxiv,2502.02315v3,Shuttle Between the Instructions and the Parameters of Large Language   Models,3
arxiv,2505.07852v1,Joint Detection of Fraud and Concept Drift inOnline Conversations with   LLM-Assisted Judgment,3
arxiv,2506.01939v1,Beyond the 8020 Rule High-Entropy Minority Tokens Drive Effective   Reinforcement Learning for LLM Reasoning,3
arxiv,2408.09846v2,Continual Dialogue State Tracking via Reason-of-Select Distillation,3
arxiv,2506.03483v1,APT Improving Specialist LLM Performance with Weakness Case Acquisition   and Iterative Preference Training,3
arxiv,2309.13885v2,TouchUp-G Improving Feature Representation through Graph-Centric   Finetuning,3
arxiv,2412.06676v1,I Don't Know Explicit Modeling of Uncertainty with an [IDK] Token,3
arxiv,2408.04639v1,Abstractive summarization from Audio Transcription,3
arxiv,2409.04593v1,Paper Copilot A Self-Evolving and Efficient LLM System for Personalized   Academic Assistance,3
arxiv,2506.22992v1,MARBLE A Hard Benchmark for Multimodal Spatial Reasoning and Planning,3
arxiv,2405.06270v3,XAI4LLM. Let Machine Learning Models and LLMs Collaborate for Enhanced   In-Context Learning in Healthcare,3
arxiv,2505.09930v2,Rethinking Prompt Optimizers From Prompt Merits to Optimization,3
arxiv,2506.11752v1,DART Distilling Autoregressive Reasoning to Silent Thought,3
arxiv,2506.16584v1,Measuring (a Sufficient) World Model in LLMs A Variance Decomposition   Framework,3
arxiv,2502.01891v3,Training and Evaluating with Human Label Variation An Empirical Study,3
arxiv,2306.07906v1,WebGLM Towards An Efficient Web-Enhanced Question Answering System with   Human Preferences,3
arxiv,2505.00061v1,Enhancing Security and Strengthening Defenses in Automated Short-Answer   Grading Systems,3
arxiv,2307.02078v1,Graph Contrastive Topic Model,3
arxiv,2212.09104v1,LaSQuE Improved Zero-Shot Classification from Explanations Through   Quantifier Modeling and Curriculum Learning,3
arxiv,2301.01935v1,Topic Segmentation Model Focusing on Local Context,3
arxiv,2505.02811v2,Knowing You Don't Know Learning When to Continue Search in Multi-round   RAG through Self-Practicing,3
arxiv,2310.01290v2,Knowledge Crosswords Geometric Knowledge Reasoning with Large Language   Models,3
arxiv,2501.08502v1,Adapting Whisper for Regional Dialects Enhancing Public Services for   Vulnerable Populations in the United Kingdom,3
arxiv,2412.05644v3,Mixture of Hidden-Dimensions Transformer,3
arxiv,2504.14945v5,Learning to Reason under Off-Policy Guidance,3
arxiv,2501.12766v2,NExtLong Toward Effective Long-Context Training without Long Documents,3
arxiv,2405.12532v2,PyramidInfer Pyramid KV Cache Compression for High-throughput LLM   Inference,3
arxiv,2507.09259v1,Psychology-Driven Enhancement of Humour Translation,3
arxiv,2507.08890v1,Overview of the TREC 2023 deep learning track,3
arxiv,2407.19342v4,Parameter-Efficient Fine-Tuning via Circular Convolution,3
arxiv,2506.15734v1,The Safety Reminder A Soft Prompt to Reactivate Delayed Safety   Awareness in Vision-Language Models,3
arxiv,2306.17177v1,Leveraging ChatGPT As Text Annotation Tool For Sentiment Analysis,3
arxiv,2507.09601v1,NMIXX Domain-Adapted Neural Embeddings for Cross-Lingual eXploration of   Finance,3
